Title,Word count,#REF!,Type,S.E. omnibus name,In omnibus?,Date published,#REF!,First published in,Also published in,Alternate title(s),Transcription,Page scans,Notes,Custom columns...,by Cowper,Book Number,Hymn Number,Reference or Section,First Line,Meter,Sub-section,Notes
Adam,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_1.html,https://archive.org/details/worksofrevjohnne03newt/page/307/mode/1up,,,No,I,I,Gen 3,"On man, in his own image made","8,6,8,6",,
Cain and Abel,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_2.html,https://archive.org/details/worksofrevjohnne03newt/page/308/mode/1up,,,No,I,II,Gen 4:3-8,When Adam fell he quickly lost,"8,8,8,8",,
Walking with God,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_3.html,https://archive.org/details/worksofrevjohnne03newt/page/309/mode/1up,,,Yes,I,III,Gen 5:24,Oh! for a closer walk with God,"8,6,8,6",,
Another,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_4.html,https://archive.org/details/worksofrevjohnne03newt/page/310/mode/1up,,,No,I,IV,"* Psal. xxiii. 4. f Psal. cvii. \ Psal. xxvii- 1,~2,",By faith in Christ I walk with God,"8,8,8,8",,
Lot in Sodom,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_5.html,https://archive.org/details/worksofrevjohnne03newt/page/311/mode/1up,,,No,I,V,Gen 13:10,How hurtful was the choice of Lot,"8,6,8,6",,
"Jehovah-Jireh—The LORD Will Provide",,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_6.html,https://archive.org/details/worksofrevjohnne03newt/page/312/mode/1up,,,Yes,I,VI,Gen 22:14,The saints should never be dismay 'd,"8,6,8,6",,
The LORD Will Provide,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_7.html,https://archive.org/details/worksofrevjohnne03newt/page/313/mode/1up,,,No,I,VII,None,Though troubles assail,"10,10,11,11",,
Esau,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_8.html,https://archive.org/details/worksofrevjohnne03newt/page/315/mode/1up,,,No,I,VII,Gen 25:34; Heb 12:16,Poor Esau repented too late,"8,8,8,8a",,
Jacob’s Ladder,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_9.html,https://archive.org/details/worksofrevjohnne03newt/page/316/mode/1up,,,No,I,IX,Gen 28:12,If the LORD our leader be,"7,7,7,7",,
My Name is Jacob,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.GEN.h1_10.html,https://archive.org/details/worksofrevjohnne03newt/page/318/mode/1up,,,No,I,X,Gen 32:27,"Nay, I cannot let Thee go","7,7,7,7",,
